state: LISTEN, src: 0.0.0.0:8080, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.53:53, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.1:631, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.1:45665, dst: 0.0.0.0:0, retr: 0
state: ESTABLISHED, src: 127.0.0.1:8080, dst: 127.0.0.1:34114, retr: 0
state: ESTABLISHED, src: 127.0.0.1:34114, dst: 127.0.0.1:8080, retr: 0
state: LISTEN, src: 0.0.0.0:8080, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.53:53, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.1:631, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.1:45665, dst: 0.0.0.0:0, retr: 0
state: ESTABLISHED, src: 127.0.0.1:8080, dst: 127.0.0.1:34114, retr: 0
state: ESTABLISHED, src: 127.0.0.1:34114, dst: 127.0.0.1:8080, retr: 0
state: LISTEN, src: 0.0.0.0:8080, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.53:53, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.1:631, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.1:45665, dst: 0.0.0.0:0, retr: 0
state: ESTABLISHED, src: 127.0.0.1:8080, dst: 127.0.0.1:34114, retr: 0
state: ESTABLISHED, src: 127.0.0.1:34114, dst: 127.0.0.1:8080, retr: 0
state: LISTEN, src: 0.0.0.0:8080, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.53:53, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.1:631, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.1:45665, dst: 0.0.0.0:0, retr: 0
state: ESTABLISHED, src: 127.0.0.1:8080, dst: 127.0.0.1:34114, retr: 0
state: ESTABLISHED, src: 127.0.0.1:34114, dst: 127.0.0.1:8080, retr: 0
state: LISTEN, src: 0.0.0.0:8080, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.53:53, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.1:631, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.1:45665, dst: 0.0.0.0:0, retr: 0
state: ESTABLISHED, src: 127.0.0.1:8080, dst: 127.0.0.1:34114, retr: 0
state: ESTABLISHED, src: 127.0.0.1:34114, dst: 127.0.0.1:8080, retr: 0
state: LISTEN, src: 0.0.0.0:8080, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.53:53, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.1:631, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.1:45665, dst: 0.0.0.0:0, retr: 0
state: ESTABLISHED, src: 127.0.0.1:8080, dst: 127.0.0.1:34114, retr: 0
state: ESTABLISHED, src: 127.0.0.1:34114, dst: 127.0.0.1:8080, retr: 0
state: LISTEN, src: 0.0.0.0:8080, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.53:53, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.1:631, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.1:45665, dst: 0.0.0.0:0, retr: 0
state: ESTABLISHED, src: 127.0.0.1:8080, dst: 127.0.0.1:34114, retr: 0
state: ESTABLISHED, src: 127.0.0.1:34114, dst: 127.0.0.1:8080, retr: 0
state: LISTEN, src: 0.0.0.0:8080, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.53:53, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.1:631, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.1:45665, dst: 0.0.0.0:0, retr: 0
state: ESTABLISHED, src: 127.0.0.1:8080, dst: 127.0.0.1:34114, retr: 0
state: ESTABLISHED, src: 127.0.0.1:34114, dst: 127.0.0.1:8080, retr: 0
state: LISTEN, src: 127.0.0.53:53, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.1:631, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.1:45665, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.53:53, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.1:631, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.1:45665, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.53:53, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.1:631, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.1:45665, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.53:53, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.1:631, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.1:45665, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.53:53, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.1:631, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.1:45665, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.53:53, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.1:631, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.1:45665, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.53:53, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.1:631, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.1:45665, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.53:53, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.1:631, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.1:45665, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.53:53, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.1:631, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.1:45665, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.53:53, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.1:631, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.1:45665, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.53:53, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.1:631, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.1:45665, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.53:53, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.1:631, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.1:45665, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.53:53, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.1:631, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.1:45665, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 0.0.0.0:8080, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.53:53, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.1:631, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.1:45665, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 0.0.0.0:8080, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.53:53, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.1:631, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.1:45665, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.53:53, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.1:631, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.1:45665, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.53:53, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.1:631, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.1:45665, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.53:53, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.1:631, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.1:45665, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.53:53, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.1:631, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.1:45665, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.53:53, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.1:631, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.1:45665, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.53:53, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.1:631, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.1:45665, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.53:53, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.1:631, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.1:45665, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.53:53, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.1:631, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.1:45665, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.53:53, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.1:631, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.1:45665, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.53:53, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.1:631, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.1:45665, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.53:53, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.1:631, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.1:45665, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.53:53, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.1:631, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.1:45665, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.53:53, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.1:631, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.1:45665, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.53:53, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.1:631, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.1:45665, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.53:53, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.1:631, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.1:45665, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.53:53, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.1:631, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.1:45665, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.53:53, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.1:631, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.1:45665, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.53:53, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.1:631, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.1:45665, dst: 0.0.0.0:0, retr: 0
state: LISTEN, src: 127.0.0.53:53, dst: 0.0.0.0:0, retr: 0
